,English,Bulgarian
0,part,част
1,history,история
2,search,търсене
3,only,само
4,police,полиция
5,thought,мислех
6,help,помощ
7,request,молба
8,kind,вид
9,month,месец
10,brother,брат
11,let,позволявам
12,because,защото
13,to put,слагам
14,no,не
15,leash,каишка
16,them,тях
17,city,град
18,each,всеки
19,speak,говоря
20,come,идва
21,should,трябва
22,baby,бебе
23,long time,дълго време
24,hours,часове
25,will,ще
26,while,докато
27,meet again,виждам отново
28,any,който и да е
29,square,площад
30,speak,говоря
31,understood,разбрах
32,knew,знаех
33,were,бяха
34,Warning,Внимание
35,here is,ето
36,could,бих могъл
37,case,случай
38,give,давам
39,type,тип
40,their,техен
41,given,даден
42,train,влак
43,body,тяло
44,place,място
45,eyes,очи
46,way,начин
47,listen,слушай
48,whose,чийто
49,find,намирам
50,first,първи
51,lost,изгубен
52,hand,ръка
53,first,първи
54,side,страна
55,power,сила
56,old,стар
57,be,бъди
58,here,ето
59,morning,сутрин
60,so much,толкова много
61,child,дете
62,point,точка
63,came,дойде
64,after,след
65,sorry,съжалявам
66,come,елате
67,in front of,пред
68,towards,към
69,minutes,минути
70,request,поискал
71,bedroom,спалня
72,placed,поставен
73,beautiful,красива
74,law,закон
75,would like to,бих искал
76,today,днес
77,husband,съпруг
78,cause,причина
79,finally,най-накрая
80,hope,надявам се
81,water,вода
82,Wait,Изчакайте
83,left,напуснал
84,new,нов
85,job,работа
86,Stop,Спри
87,would say,би казал
88,Earth,Земя
89,account,акаунт
90,given,дал
91,far,далеч
92,end,край
93,believe,вярвам
94,sweetheart,скъпа
95,large,голям
96,rather,по-скоро
97,will have,ще има
98,girls,момичета
99,to play,играя
100,office,офис
101,the,този
102,be,бъда
103,to,до
104,of,на
105,and,и
106,a,един
107,in,в
108,have,имам
109,it,то
110,I,аз
111,that,че
112,for,за
113,you,ти
114,he,той
115,with,с
116,on,върху
117,do,правя
118,say,казвам
119,this,това
120,they,те
121,at,при
122,but,но
123,we,ние
124,his,негов
125,from,от
126,not,не
127,by,от
128,she,тя
129,or,или
130,as,като
131,what,какво
132,go,отивам
133,their,техен
134,can,мога
135,who,кой
136,get,получавам
137,if,ако
138,would,бих
139,her,нея
140,all,всички
141,my,мой
142,make,правя
143,about,относно
144,know,зная
145,will,ще
146,up,нагоре
147,one,един
148,time,време
149,there,там
150,year,година
151,so,така
152,think,мисля
153,when,когато
154,which,който
155,them,тях
156,some,някои
157,me,мен
158,people,хора
159,take,вземам
160,out,навън
161,into,в
162,just,просто
163,see,виждам
164,him,него
165,your,твой
166,come,идвам
167,could,можех
168,now,сега
169,than,отколкото
170,like,харесвам
171,other,друг
172,how,как
173,then,тогава
174,its,неговото
175,our,наш
176,two,две
177,more,повече
178,these,тези
179,want,искам
180,way,начин
181,look,гледам
182,first,първи
183,also,също
184,new,нов
185,because,защото
186,day,ден
187,more,повече
188,use,използвам
189,no,не
190,man,мъж
191,find,намирам
192,here,тук
193,thing,нещо
194,give,давам
195,many,много
196,well,добре
197,only,само
198,those,онези
199,tell,казвам
200,very,много
201,even,дори
202,back,назад
203,any,който и да е
204,good,добър
205,woman,жена
206,through,през
207,us,нас
208,life,живот
209,child,дете
210,work,работа
211,down,надолу
212,may,може би
213,after,след
214,should,трябва
215,call,обаждам се
216,world,свят
217,over,над
218,school,училище
219,still,все още
220,try,опитвам
221,in,в
222,as,като
223,last,последен
224,ask,питам
225,need,нуждая се
226,too,също
227,feel,чувствам
228,three,три
229,when,когато
230,state,щат / състояние
231,never,никога
232,become,ставам
233,between,между
234,high,висок
235,really,наистина
236,something,нещо
237,most,повечето
238,another,друг
239,much,много
240,family,семейство
241,own,собствен
242,leave,напускам
243,put,слагам
244,old,стар
245,while,докато
246,mean,означавам
247,on,върху
248,keep,запазвам
249,student,студент
250,why,защо
251,let,позволявам
252,great,страхотен
253,same,същият
254,big,голям
255,group,група
256,begin,започвам
257,seem,изглежда
258,country,страна
259,help,помощ
260,talk,говоря
261,where,къде
262,turn,завъртам
263,problem,проблем
264,every,всеки
265,start,започвам
266,hand,ръка
267,might,може би
268,American,американски
269,show,показвам
270,part,част
271,about,относно
272,against,срещу
273,place,място
274,over,над
275,such,такъв
276,again,отново
277,few,няколко
278,case,случай
279,most,най-много
280,week,седмица
281,company,компания
282,where,където
283,system,система
284,each,всеки
285,right,дясно / право
286,program,програма
287,hear,чувам
288,so,така
289,question,въпрос
290,during,по време на
291,work,работа
292,play,играя
293,government,правителство
294,run,тичам
295,small,малък
296,number,номер
297,off,извън
298,always,винаги
299,move,движа се
300,night,нощ
301,live,живея
302,point,точка
303,believe,вярвам
304,hold,държа
305,today,днес
306,bring,донасям
307,happen,случва се
308,next,следващ
309,without,без
310,before,преди
311,large,голям
312,million,милион
313,must,трябва
314,home,дом
315,under,под
316,water,вода
317,room,стая
318,write,пиша
319,mother,майка
320,area,област
321,national,национален
322,money,пари
323,story,история
324,young,млад
325,fact,факт
326,month,месец
327,different,различен
328,lot,много
329,right,правилен
330,study,уча
331,book,книга
332,eye,око
333,job,работа
334,word,дума
335,though,въпреки че
336,business,бизнес
337,issue,въпрос / проблем
338,side,страна
339,kind,вид
340,four,четири
341,head,глава
342,far,далеч
343,black,черен
344,long,дълъг
345,both,и двата
346,little,малко
347,house,къща
348,yes,да
349,after,след
350,since,оттогава
351,long,дълго
352,provide,предоставям
353,service,услуга
354,friend,приятел
355,important,важен
356,father,баща
357,sit,сядам
358,away,далеч
359,until,докато
360,power,мощност
361,hour,час
362,game,игра
363,often,често
364,yet,все още
365,line,линия
366,end,край
367,member,член
368,law,закон
369,car,кола
370,city,град
371,community,общност
372,name,име
373,president,президент
374,team,отбор
375,minute,минута
376,idea,идея
377,kid,дете
378,body,тяло
379,information,информация
380,nothing,нищо
381,ago,преди
382,lead,водя
383,social,социален
384,understand,разбирам
385,whether,дали
386,watch,гледам
387,together,заедно
388,follow,следвам
389,around,наоколо
390,parent,родител
391,only,само
392,stop,спирам
393,face,лице
394,anything,каквото и да е
395,create,създавам
396,public,публичен
397,already,вече
398,speak,говоря
399,others,други
400,read,чета
401,level,ниво
402,allow,позволявам
403,add,добавям
404,office,офис
405,spend,харча
406,door,врата
407,health,здраве
408,person,човек
409,sure,сигурен
410,war,война
411,history,история
412,party,партия
413,within,в рамките на
414,grow,раста
415,result,резултат
416,open,отворен
417,change,променям
418,morning,сутрин
419,walk,разхождам се
420,reason,причина
421,low,нисък
422,win,печеля
423,research,изследване
424,girl,момиче
425,guy,тип / човек
426,early,рано
427,food,храна
428,moment,момент
429,himself,самият той
430,air,въздух
431,teacher,учител
432,force,сила
433,offer,предлагам
434,enough,достатъчно
435,both,и двамата
436,education,образование
437,across,през
438,although,въпреки че
439,remember,помня
440,foot,крак
441,second,втори
442,boy,момче
443,maybe,може би
444,toward,към
445,able,способен
446,age,възраст
447,policy,политика
448,everything,всичко
449,process,процес
450,music,музика
451,including,включително
452,consider,обмислям
453,appear,появявам се
454,actually,всъщност
455,buy,купувам
456,probably,вероятно
457,human,човешки
458,wait,чакам
459,serve,служа
460,market,пазар
461,die,умирам
462,send,изпращам
463,expect,очаквам
464,home,дом
465,sense,смисъл
466,build,строя
467,stay,оставам
468,fall,падам
469,oh,о
470,nation,нация
471,plan,план
472,cut,режа
473,college,колеж
474,interest,интерес
475,death,смърт
476,course,курс
477,someone,някой
478,experience,опит
479,behind,зад
480,reach,достигам
481,local,местен
482,kill,убивам
483,six,шест
484,remain,оставам
485,effect,ефект
486,use,употреба
487,yeah,да
488,suggest,предлагам
489,class,клас
490,control,контрол
491,raise,повишавам
492,care,грижа
493,perhaps,може би
494,little,малко
495,late,късно
496,hard,трудно
497,field,поле
498,else,друго
499,pass,минавам
500,former,бивш
501,sell,продавам
502,major,основен
503,sometimes,понякога
504,require,изисквам
505,along,по протежение на
506,development,развитие
507,themselves,самите те
508,report,доклад
509,role,роля
510,better,по-добре
511,economic,икономически
512,effort,усилие
513,decide,решавам
514,rate,ставка
515,strong,силен
516,possible,възможен
517,heart,сърце
518,drug,лекарство
519,show,предаване / показвам
520,leader,лидер
521,light,светлина
522,voice,глас
523,wife,съпруга
524,whole,цял
525,police,полиция
526,mind,ум
527,finally,накрая
528,pull,дърпам
529,return,връщам се
530,free,свободен
531,military,военен
532,price,цена
533,less,по-малко
534,according,според
535,decision,решение
536,explain,обяснявам
537,son,син
538,hope,надявам се
539,develop,развивам
540,view,гледка
541,relationship,връзка
542,carry,нося
543,town,град
544,road,път
545,drive,шофирам
546,arm,ръка (ръкав)
547,true,вярно
548,federal,федерален
549,break,почивка / чупя
550,difference,разлика
551,thank,благодаря
552,receive,получавам
553,value,стойност
554,international,международен
555,building,сграда
556,action,действие
557,full,пълен
558,model,модел
559,join,присъединявам се
560,season,сезон
561,society,общество
562,because of,заради
563,tax,данък
564,director,директор
565,position,позиция
566,player,играч
567,agree,съгласявам се
568,especially,особено
569,record,запис
570,pick,избирам
571,wear,нося
572,paper,хартия
573,special,специален
574,space,пространство
575,ground,земя
576,form,форма
577,support,подкрепа
578,event,събитие
579,official,официален
580,whose,чийто
581,matter,има значение / въпрос
582,everyone,всеки
583,center,център
584,couple,двойка
585,site,сайт / място
586,end,край
587,project,проект
588,hit,удрям
589,base,основа
590,activity,дейност
591,star,звезда
592,table,маса
593,need,нужда
594,court,съд
595,produce,произвеждам
596,eat,ям
597,teach,преподавам
598,oil,нефт / олио
599,half,половина
600,situation,ситуация
601,easy,лесен
602,cost,цена
603,industry,индустрия
604,figure,цифра / фигура
605,face,лице
606,street,улица
607,image,изображение
608,itself,самото
609,phone,телефон
610,either,или
611,data,данни
612,cover,покривам
613,quite,доста
614,picture,картина
615,clear,ясно
616,practice,практика
617,piece,парче
618,land,земя
619,recent,скорошен
620,describe,описвам
621,product,продукт
622,doctor,лекар
623,wall,стена
624,patient,пациент
625,worker,работник
626,news,новини
627,test,тест
628,movie,филм
629,certain,определен
630,north,север
631,love,любов
632,personal,личен
633,open,отварям
634,support,поддържам
635,simply,просто
636,third,трети
637,technology,технология
638,catch,хващам
639,step,стъпка
640,baby,бебе
641,computer,компютър
642,type,тип
643,attention,внимание
644,draw,рисувам
645,film,филм
646,Republican,републиканец
647,tree,дърво
648,source,източник
649,red,червен
650,nearly,почти
651,organization,организация
652,choose,избирам
653,cause,причина
654,hair,коса
655,century,век
656,evidence,доказателство
657,window,прозорец
658,difficult,труден
659,listen,слушам
660,soon,скоро
661,culture,култура
662,billion,милиард
663,chance,шанс
664,brother,брат
665,energy,енергия
666,period,период
667,course,курс
668,summer,лято
669,realize,осъзнавам
670,hundred,сто
671,available,наличен
672,plant,растение
673,likely,вероятно
674,opportunity,възможност
675,term,срок
676,short,кратък
677,letter,писмо
678,condition,състояние
679,choice,избор
680,place,поставям
681,single,самотен / единичен
682,rule,правило
683,daughter,дъщеря
684,administration,администрация
685,south,юг
686,husband,съпруг
687,Congress,Конгрес
688,floor,етаж
689,campaign,кампания
690,material,материал
691,population,население
692,well,кладенец / добре
693,call,обаждане
694,economy,икономика
695,medical,медицински
696,hospital,болница
697,church,църква
698,close,затварям
699,thousand,хиляда
700,risk,риск
701,current,текущ
702,fire,пожар
703,future,бъдеще
704,wrong,грешен
705,involve,включвам
706,defense,отбрана
707,anyone,някой
708,increase,увеличавам
709,security,сигурност
710,bank,банка
711,myself,самият аз
712,certainly,със сигурност
713,west,запад
714,sport,спорт
715,board,дъска / съвет
716,seek,търся
717,per,на / за
718,subject,предмет
719,officer,офицер
720,private,частен
721,rest,почивка
722,behavior,поведение
723,deal,споразумение
724,performance,представяне
725,fight,битка
726,throw,хвърлям
727,top,върхът
728,quickly,бързо
729,past,минало
730,goal,цел
731,second,секунда
732,bed,легло
733,order,поръчка / ред
734,author,автор
735,fill,пълня
736,represent,представлявам
737,focus,фокус
738,foreign,чужд
739,drop,пускам
740,plan,планирам
741,blood,кръв
742,upon,върху
743,agency,агенция
744,push,бутам
745,nature,природа
746,color,цвят
747,no,не
748,recently,наскоро
749,store,магазин
750,reduce,намалявам
751,sound,звук
752,note,бележка
753,fine,добре / глоба
